train_base_euler_roll,train_base_euler_pitch,train_base_euler_yaw,train_dof_pos_0,train_target_dof_pos_0,train_dof_pos_1,train_target_dof_pos_1,train_dof_pos_2,train_target_dof_pos_2,train_dof_pos_3,train_target_dof_pos_3,train_dof_pos_4,train_target_dof_pos_4,train_dof_pos_5,train_target_dof_pos_5,train_dof_pos_6,train_target_dof_pos_6,train_dof_pos_7,train_target_dof_pos_7,train_dof_pos_8,train_target_dof_pos_8,train_dof_pos_9,train_target_dof_pos_9,train_dof_pos_10,train_target_dof_pos_10,train_dof_pos_11,train_target_dof_pos_11
0.012183117680251598,0.08529866486787796,-0.0027170181274414062,0.013624471612274647,0.048408348113298416,-0.03300807625055313,0.07600703835487366,0.0025956982281059027,-0.009600008837878704,0.014195144176483154,0.013335246592760086,-0.08323248475790024,-0.18874181807041168,0.041808247566223145,0.15363460779190063,-0.029829250648617744,-0.06728062033653259,0.03608493506908417,0.0024119755253195763,0.020327512174844742,0.010691238567233086,-0.014341158792376518,-0.07176031917333603,0.04516663774847984,0.2189992070198059,-0.045326877385377884,-0.03622927889227867
-0.00926065444946289,0.10822835564613342,-0.0027256011962890625,0.009146077558398247,0.02988607995212078,0.004252692684531212,0.20854516327381134,-0.014864086173474789,0.2000206708908081,0.0007221713312901556,-0.14128121733665466,-0.07801308482885361,0.446065217256546,0.022062329575419426,0.0588519424200058,-0.028266334906220436,-0.046541862189769745,0.06165503337979317,0.14169955253601074,0.0274361502379179,-0.03178369253873825,-0.047553952783346176,-0.056512393057346344,0.02939278446137905,-0.07331414520740509,-0.04807811230421066,0.04024658352136612
-0.03207540512084961,0.08584422618150711,-0.003223896026611328,0.00997681263834238,-0.07319538295269012,0.0378907173871994,0.017422962933778763,0.01048719510436058,0.18266884982585907,-0.016651490703225136,-0.12068366259336472,-0.1036815345287323,0.46762707829475403,-0.006047957111150026,-0.10538298636674881,-0.02817133255302906,-0.046884581446647644,0.08578119426965714,0.08066842705011368,-0.011626160703599453,0.007330401800572872,-0.067140132188797,-0.1476135551929474,0.03826378285884857,0.031668394804000854,-0.039990514516830444,-0.0753023698925972
-0.03945207595825195,0.03812222182750702,-0.0020341873168945312,0.008309254422783852,-0.04080498591065407,0.047738585621118546,0.03308609873056412,0.04568025842308998,0.15255407989025116,-0.05341818928718567,-0.12325417250394821,-0.11621186882257462,0.14166030287742615,-0.008914167061448097,0.02307264134287834,-0.028126507997512817,-0.035180799663066864,0.09503860026597977,0.05750712752342224,-0.06497125327587128,-0.0017449511215090752,-0.06710131466388702,-0.10723530501127243,0.04844306781888008,0.09233295917510986,-0.06208623945713043,-0.1467105746269226
-0.03237342834472656,-0.0017056465148925781,-0.0019392967224121094,0.0072992355562746525,-0.004864310380071402,0.03731750696897507,0.09045262634754181,0.07959277182817459,0.003235804382711649,-0.07600711286067963,-0.024477286264300346,-0.12863054871559143,-0.25412634015083313,0.02224569395184517,0.21050328016281128,-0.020393243059515953,-0.024940913543105125,0.08994404226541519,0.0071583278477191925,-0.07697409391403198,-0.0675533339381218,-0.010430088266730309,0.03749410808086395,0.09506736695766449,0.2767600417137146,-0.06204984709620476,-0.06708158552646637
-0.020148277282714844,-0.012546539306640625,0.001202244427986443,0.003984247334301472,0.052581604570150375,0.022030875086784363,0.15780620276927948,0.08830167353153229,0.029527517035603523,-0.08128573000431061,-0.03215430676937103,-0.13259842991828918,-0.3076390326023102,0.0401543453335762,0.127433642745018,-0.02074369415640831,-0.02564742974936962,0.07915184646844864,-0.011970726773142815,-0.0646335557103157,-0.07287821173667908,0.018213331699371338,0.1250392496585846,0.10531964898109436,0.2318466454744339,-0.08480948954820633,-0.08568304777145386
-0.010931968688964844,-0.010938644409179688,0.003084290772676468,0.01574716530740261,0.061574097722768784,0.015518829226493835,0.20251090824604034,0.08444992452859879,0.10220365226268768,-0.08708375692367554,-0.09990540891885757,-0.15410135686397552,-0.23790991306304932,0.06826315820217133,0.14432339370250702,-0.01942739449441433,-0.005638611037284136,0.0707610473036766,0.020017322152853012,-0.023927802219986916,-0.027220364660024643,0.09065604209899902,0.1592167317867279,0.12432442605495453,0.13612091541290283,-0.0759853720664978,-0.07531163096427917
-0.011314868927001953,-0.017487049102783203,0.0036412396002560854,0.01838088408112526,0.03824400156736374,0.022367024794220924,0.1616256982088089,0.0804666131734848,0.13188476860523224,-0.11008770763874054,-0.12106045335531235,-0.16629065573215485,-0.1040567085146904,0.02717455103993416,0.0863688588142395,-0.016761962324380875,-0.026514578610658646,0.07097307592630386,-0.0303952693939209,-0.016790812835097313,0.040795061737298965,0.10506182909011841,0.15290194749832153,0.12265019118785858,0.1367177963256836,-0.09167660027742386,-0.015316090546548367
-0.0051479339599609375,-0.02378225326538086,-0.0015864372253417969,0.023616373538970947,0.031356554478406906,0.018564078956842422,0.13773663341999054,0.07593827694654465,0.112172931432724,-0.13689720630645752,-0.1334000527858734,-0.18218547105789185,-0.16575686633586884,0.00968602579087019,0.11445455253124237,-0.008320726454257965,-0.02426775172352791,0.062257569283246994,-0.04602259397506714,0.00809177104383707,0.07943135499954224,0.160733163356781,0.15686962008476257,0.1312713623046875,0.15948598086833954,-0.05174833908677101,0.08169013261795044
0.003712468547746539,-0.030143260955810547,-0.010364055633544922,0.032168950885534286,0.015887320041656494,0.011882342398166656,0.17486856877803802,0.0814749076962471,0.047904085367918015,-0.14764676988124847,-0.13368958234786987,-0.19107858836650848,-0.15815982222557068,-0.007977011613547802,0.21584899723529816,-0.0009879734134301543,-0.029252126812934875,0.04925135150551796,-0.01897534355521202,0.02109435759484768,0.04629119113087654,0.19015009701251984,0.19432702660560608,0.13190674781799316,0.18455283343791962,-0.019496867433190346,0.10183234512805939
